Wavelength (nm),Response (A/W),Relative Uncertainty (%),,,,
1025,0.3973,2.5,,,,
1030,0.3752,2.5,,,,
1035,0.3501,3.1,,,,
1040,0.3236,3.1,,,,
1045,0.2964,3.1,,,,
1050,0.2692,3.1,,,,
1055,0.2417,3.9,,,,
1060,0.2129,3.9,,,,
1065,0.1885,3.9,,,,
1070,0.1707,3.9,,,,
1075,0.1543,4.4,,,,
1080,0.1391,4.4,,,,
1085,0.1255,4.4,,,,
1090,0.113,4.4,,,,
1095,0.101,4.8,,,,
1100,0.0898,4.8,,,,
1105,0.0802,4.8,,,,
1110,0.0714,5.4,,,,
1115,0.0629,5.4,,,,
1120,0.055,5.4,,,,
1125,0.0481,5.8,,,,
1130,0.0416,5.8,,,,
1135,0.0354,6.1,,,,
1140,0.0298,6.1,,,,
1145,0.025,6.5,,,,
1150,0.0205,7.1,,,,
